id_contrato,sobrecosto,tfidf_demoras,valor_inicial,suma_impacto,tfidf_ejecucion,prop_tipo_regulatorio,prop_tipo_operacional,tfidf_desarrollo,tfidf_municipio,prop_tipo_social,prob_std,n_riesgos,tfidf_proceso,prop_asig_contratista,imp_promedio,tfidf_disenos,val_std,prop_asig_edu,tfidf_ley,tfidf_contrato,tfidf_obra,tfidf_otras,prop_cate_medio,tfidf_ejecucion contrato,tfidf_construccion,tfidf_precios,tfidf_calidad,tfidf_demora,prop_cate_bajo,tfidf_condiciones,prop_fuen_interno,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio
C-011,53.46,0.0,29644842809,56.0,0.07413366080067962,0.029411764705882353,0.7058823529411765,0.0,0.03750958380499583,0.058823529411764705,0.5830655176940885,34,0.05109634640231582,0.3235294117647059,1.6470588235294117,0.23811603767152464,1.0038851862280007,0.0,0.0,0.17431225460662103,0.27543318239949016,0.0,0.2647058823529412,0.04881917596959999,0.05040881800115845,0.05013807529349833,0.11584627827446274,0.13391411751195592,0.7058823529411765,0.0450583858905954,0.0,2019,2022,3,26.01,3743.24
C-012,17.61,0.30247838162721513,28827446286,28.0,0.0,0.0,0.3333333333333333,0.282947097225362,0.0,0.08333333333333333,0.5,12,0.0,0.5833333333333334,2.3333333333333335,0.12928030619593775,0.6871842709362768,0.0,0.0,0.0,0.25635582554260966,0.0,0.5,0.0,0.3284214279672296,0.10888583212458833,0.0,0.0,0.3333333333333333,0.0978541719674769,0.08333333333333333,2018,2020,2,8.83,3310.33
C-013,22.75,0.0,28393419604,36.0,0.21648292118132517,0.125,0.0,0.0,0.0,0.0,0.6817945071647321,16,0.0,0.8125,2.25,0.08691742532762789,1.260890062614501,0.0,0.0,0.05090214845372683,0.11490168909992014,0.0,0.0625,0.0,0.07360116886395895,0.14641172288966797,0.0,0.09776301019435729,0.875,0.13157816430430583,0.3125,2019,2020,1,5.47,3487.23
C-014,23.52,0.0,28109635150,72.0,0.0,0.1,0.6,0.0,0.06517316778542642,0.1,0.82915619758885,20,0.0,0.35,3.6,0.10343207589456295,1.382027496108525,0.0,0.11968793303881053,0.12114751126638948,0.0683667295861487,0.0,0.8,0.0,0.0875856786503976,0.0,0.0,0.0,0.2,0.07828926492639847,0.6,2019,2021,2,11.4,3572.51
C-015,35.91,0.0,26787663741,68.0,0.0,0.08,0.44,0.0,0.0744102005882683,0.08,0.6997142273814361,25,0.20272629016041324,0.48,2.72,0.11809156706813377,1.2419339757008019,0.0,0.0,0.06915891094768391,0.2341691635498551,0.0,0.36,0.0,0.09999925028184745,0.0,0.11490589776497359,0.0,0.24,0.08938525017321702,0.28,2019,2021,2,11.4,3572.51
C-016,48.09,0.0,25111685227,74.0,0.14385779103947455,0.14285714285714285,0.6190476190476191,0.0,0.0,0.09523809523809523,0.5259695722470125,21,0.09915344047811504,0.6666666666666666,3.5238095238095237,0.0,1.0301575072754257,0.0,0.0,0.13530250969928678,0.15270953561065395,0.0,0.38095238095238093,0.0,0.0,0.0,0.11240096275237296,0.12993145708847814,0.09523809523809523,0.08743666226672916,0.38095238095238093,2019,2021,2,11.4,3572.51
C-017,53.1,0.0,23879922977,61.0,0.0,0.05555555555555555,0.5555555555555556,0.0,0.0,0.1111111111111111,0.4714045207910317,18,0.0,0.6111111111111112,3.388888888888889,0.13743274104910747,0.9111788592698181,0.0,0.0,0.16097167537843785,0.2725216610705606,0.0,0.3888888888888889,0.0,0.11637724361097523,0.1157521884858078,0.13372531912831354,0.15458164359536766,0.05555555555555555,0.2080497404793996,0.16666666666666666,2019,2022,3,26.01,3743.24
C-018,49.97,0.0,23505672617,75.0,0.1503682949617375,0.14285714285714285,0.6666666666666666,0.0,0.0,0.047619047619047616,0.5259695722470125,21,0.1036407807776856,0.6666666666666666,3.5714285714285716,0.0,1.0389249632986397,0.0,0.0,0.141425831305466,0.1596206387450494,0.0,0.3333333333333333,0.0,0.0,0.0,0.11748783989387346,0.13581170351022223,0.09523809523809523,0.0913937418835079,0.38095238095238093,2019,2021,2,11.4,3572.51
C-019,11.18,0.2522889656480564,21852074715,59.0,0.06714181586268841,0.05,0.6,0.0,0.0,0.1,0.4974937185533101,20,0.0925544872422914,0.55,2.95,0.10782917626501401,1.0723805294763609,0.0,0.0,0.06314886476670806,0.2850925332958493,0.0,0.6,0.0,0.09130911760015298,0.0908187018611338,0.10492034792662543,0.0,0.2,0.0,0.15,2018,2021,3,14.94,3418.52
C-020,15.13,0.20658379808413246,21760773530,104.0,0.0,0.03125,0.5,0.0,0.0,0.15625,0.5266343608235224,32,0.0,0.78125,3.25,0.08829462961208026,0.8654614015078893,0.0,0.0,0.05170869163737564,0.3501669098907969,0.0,0.65625,0.0,0.07476737742016117,0.2230974190965933,0.0,0.0,0.03125,0.0,0.125,2020,2021,1,7.32,3718.23
C-021,19.95,0.22018094645454853,21318009743,81.0,0.05859688918756182,0.038461538461538464,0.5384615384615384,0.10298183845156164,0.05929681340308922,0.15384615384615385,0.5044183480232309,26,0.0,0.6923076923076923,3.1153846153846154,0.1882121956817181,0.9230769230769231,0.0,0.0,0.05511210835617927,0.12440485386858334,0.0,0.6538461538461539,0.0,0.15937698964747601,0.15852098549132052,0.0,0.0,0.07692307692307693,0.14246058896783434,0.07692307692307693,2020,2021,1,7.32,3718.23
C-022,47.64,0.0,21221757249,44.0,0.0,0.19047619047619047,0.42857142857142855,0.0,0.0,0.14285714285714285,0.5471012044321932,21,0.11643915744016736,0.6190476190476191,2.0952380952380953,0.13565564248546186,2.0146853144101122,0.0,0.0,0.0,0.26899777113899215,0.0,0.42857142857142855,0.0,0.0,0.0,0.13199616004488188,0.15258279808954206,0.19047619047619047,0.0,0.2857142857142857,2019,2021,2,11.4,3572.51
C-023,17.11,0.0,20365882350,82.0,0.0,0.125,0.3333333333333333,0.147582078218908,0.08497757551592829,0.125,0.9119195261766371,24,0.0,0.2916666666666667,3.4166666666666665,0.0,2.3180301742835203,0.0,0.0,0.15796104650153958,0.08914157656585646,0.0,0.16666666666666666,0.0,0.11420065764077071,0.11358729282698916,0.0,0.0,0.20833333333333334,0.0,0.4166666666666667,2021,2023,2,30.56,4107.86
C-024,19.56,0.0,20271106341,67.0,0.05522410674772477,0.1111111111111111,0.6111111111111112,0.0,0.055883743976415864,0.05555555555555555,0.816496580927726,18,0.0,0.3333333333333333,3.7222222222222223,0.0,1.4196591487978485,0.0,0.0,0.10387981331950488,0.0,0.10569364104009439,0.6666666666666666,0.0,0.07510169918108466,0.0,0.0,0.2992684068465623,0.0,0.06713034498573163,0.6111111111111112,2019,2021,2,11.4,3572.51
C-025,70.0,0.0,19898010001,69.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.19833849056118097,0.2222222222222222,0.6666666666666666,18,0.0,0.5555555555555556,3.8333333333333335,0.3147700580717277,3.0590888662080453,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.2665454494323511,0.0,0.0,0.0,0.16666666666666666,0.0,0.5555555555555556,2019,2020,1,5.47,3487.23
C-026,44.22,0.0,19387028406,48.0,0.0,0.045454545454545456,0.7272727272727273,0.0,0.08723788072970624,0.0,0.5749595745760689,22,0.0,0.9090909090909091,2.1818181818181817,0.138449540004307,1.9922370000737386,0.0,0.0,0.0,0.09151263939099469,0.0,0.36363636363636365,0.0,0.1172382630362544,0.11660858342791533,0.13471468864634425,0.3114506381160092,0.3181818181818182,0.10479450037708242,0.045454545454545456,2022,2024,2,30.05,4217.26
C-027,1.25,0.0,19382081781,12.0,0.0,0.16666666666666666,0.5,0.0,0.7205333102926481,0.16666666666666666,0.0,6,0.0,0.16666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.12597338152201276,0.0,1.0,0.0,0.1613864547753116,0.16051965790369024,0.18544394503755365,0.0,0.0,0.0,0.3333333333333333,2020,2021,1,7.32,3718.23
C-028,2.865528154529257,0.07915784342156267,16978453631,57.0,0.25279590013519204,0.0,0.8,0.0,0.0,0.05,0.852936105461599,20,0.0,0.75,2.85,0.0,1.2688577540449522,0.0,0.0,0.07925400838062409,0.17890049256273,0.16127569823419163,0.4,0.11098231131716646,0.0,0.11398061049886575,0.06583933190718738,0.0,0.2,0.15364916688084934,0.4,2019,2021,2,11.4,3572.51
C-029,55.70430296245156,0.0,16932183053,43.0,0.02603358322190813,0.0,1.0,0.18301219049989523,0.026344547431213446,0.0,0.8528028654224418,11,0.03588709830414689,0.18181818181818182,3.909090909090909,0.041809709760993075,1.504813214295168,0.0,0.0,0.0,0.05527092242099011,0.049825780118338395,0.36363636363636365,0.0,0.035404218390875646,0.0,0.0,0.141080217212365,0.18181818181818182,0.0,0.8181818181818182,2019,2021,2,11.4,3572.51
C-030,16.284867383082652,0.0,16930449221,47.0,0.07129507677495692,0.058823529411764705,0.058823529411764705,0.0,0.07214667745503654,0.058823529411764705,0.5703152773430975,17,0.0,0.5882352941176471,2.764705882352941,0.343497832235426,2.312894500157353,0.0,0.0,0.13411025912677935,0.3784097471176267,0.0,0.47058823529411764,0.0,0.0969573203511481,0.0,0.11141051466320046,0.0,0.17647058823529413,0.0,0.7647058823529411,2018,2019,1,7.1,3118.82
C-031,29.38667704891836,0.0,16670736929,74.0,0.0,0.11538461538461539,0.23076923076923078,0.0,0.09685244447175267,0.07692307692307693,0.624926031125843,26,0.0,0.5384615384615384,2.8461538461538463,0.30741637172395797,2.4376849042293576,0.0,0.0,0.0,0.10159832805362652,0.0,0.38461538461538464,0.0,0.13015919535992374,0.0,0.1495617132432997,0.1728879437550975,0.15384615384615385,0.0,0.7692307692307693,2018,2019,1,7.1,3118.82
C-051,29.38667704891836,0.07896007409997557,16670736929,45.0,0.33621908066295225,0.14285714285714285,0.23809523809523808,0.07386155547083706,0.1275881729711847,0.09523809523809523,0.7221786137191952,21,0.057934433653601784,0.5714285714285714,2.142857142857143,0.0,1.60073679180682,0.0,0.0,0.5138639921924879,0.04461338112145737,0.0,0.14285714285714285,0.33211509358791824,0.05715489516706895,0.11369583937527167,0.0,0.0,0.6666666666666666,0.15326528715165286,0.2857142857142857,2018,2019,1,7.1,3118.82
C-032,28.56229836329816,0.0,16147899764,60.0,0.0,0.09523809523809523,0.19047619047619047,0.0,0.0,0.09523809523809523,0.659828879073858,21,0.0,0.5238095238095238,2.857142857142857,0.1437561399129008,2.467015970854975,0.0,0.0,0.0,0.19004041171507563,0.0,0.3333333333333333,0.0,0.12173186089069674,0.24215609288101758,0.13987813631424328,0.0,0.14285714285714285,0.0,0.7619047619047619,2018,2019,1,7.1,3118.82
C-033,19.7010158843782,0.0,16012813022,39.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.1285437031498815,0.15384615384615385,0.48650425541051995,13,0.0,0.5384615384615384,3.0,0.20400331166562954,1.9460170216420798,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.17182099115094598,0.0,0.22945891186804543,0.0,0.0,0.7692307692307693,2019,2020,1,5.47,3487.23
C-034,14.86101216578656,0.0,15589252126,81.0,0.0,0.1111111111111111,0.4074074074074074,0.0,0.23999467898908772,0.07407407407407407,0.43822813208145306,27,0.0,0.6666666666666666,3.0,0.12695995757649503,1.752912528325812,0.0,0.0,0.0,0.16783646683741005,0.0,0.25925925925925924,0.0,0.215017903287534,0.10693152757750413,0.0,0.1428020627629053,0.0,0.0,0.8148148148148148,2021,2022,1,19.48,3999.26
C-035,49.42203854607977,0.11291255741929217,15559153710,74.0,0.12019795030444685,0.14285714285714285,0.6666666666666666,0.0,0.0,0.047619047619047616,0.6998542122237651,21,0.08284598439185746,0.6666666666666666,3.5238095238095237,0.0,1.3058389715049608,0.0,0.0,0.22609945863049188,0.06379693807236282,0.0,0.2857142857142857,0.15830770593873683,0.0,0.0,0.0,0.10856203692033492,0.0,0.07305622802896475,0.0,2019,2021,2,11.4,3572.51
C-036,15.493509088212976,0.11055313222001882,15554525668,92.0,0.17652943387737413,0.14814814814814814,0.5925925925925926,0.0,0.05954601029686039,0.07407407407407407,0.7926272058900998,27,0.08111483147405668,0.6666666666666666,3.4074074074074074,0.09450158194735651,1.367865578712547,0.0,0.0,0.11068743776669007,0.1249276695373338,0.0,0.37037037037037035,0.07749985097362941,0.08002338845865196,0.0,0.09195228231331849,0.10629352036691819,0.037037037037037035,0.07152964224156366,0.0,2018,2019,1,7.1,3118.82
C-037,31.710265485696304,0.1218919077232552,15358105867,74.0,0.12975667013393466,0.14285714285714285,0.6666666666666666,0.0,0.06565328947847404,0.047619047619047616,0.6998542122237651,21,0.0894342960210832,0.6666666666666666,3.5238095238095237,0.0,1.3058389715049608,0.0,0.0,0.24407997637787135,0.13774075561260854,0.0,0.2857142857142857,0.17089709705634348,0.0,0.0,0.10138327956526369,0.11719541288399811,0.0,0.07886601108898597,0.0,2018,2020,2,8.83,3310.33
C-038,15.175840370568755,0.0,14628514440,26.0,0.0,0.1,0.2,0.0,0.0,0.1,0.7,10,0.14318430553074885,0.6,2.6,0.0,1.2041594578792296,0.0,0.0,0.0,0.05513073651024943,0.09939880989134868,0.4,0.0,0.0,0.07024949920120496,0.0,0.18762985288360526,0.4,0.06313224081897359,0.3,2018,2020,2,8.83,3310.33
C-039,10.690461258195988,0.0,14334422884,69.0,0.0,0.10526315789473684,0.631578947368421,0.0,0.0,0.05263157894736842,0.8486587103472158,19,0.0,0.47368421052631576,3.6315789473684212,0.09946826512780799,1.3845206776806218,0.0,0.11510115167986826,0.058252397363189615,0.0657467224319111,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.5789473684210527,2019,2020,1,5.47,3487.23
C-040,11.288570785750418,0.22311027887225296,14173627737,81.0,0.19792158068473273,0.04,0.48,0.0,0.0,0.08,0.4963869458396343,25,0.05456668152056665,0.84,3.24,0.0,0.8,0.0,0.0,0.1489208830292465,0.29413991023647723,0.07576058259680979,0.2,0.10426970281808362,0.0,0.05354332705225511,0.0,0.07150461349866154,0.04,0.048118637942604035,0.2,2018,2020,2,8.83,3310.33
C-041,52.62635326028726,0.0,14099924774,49.0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,0.0,0.8770580193070292,13,0.0,0.3076923076923077,3.769230769230769,0.11161990234648608,1.4225570776082255,0.0,0.12916259566774355,0.0,0.07377873463482983,0.0,0.6153846153846154,0.0,0.09451908233838316,0.0,0.0,0.0,0.0,0.08448675162210617,0.6153846153846154,2018,2023,5,42.09,3709.1
C-042,38.42814033069913,0.09021871840179123,13647641007,63.0,0.14405977437992964,0.0,0.7727272727272727,0.0,0.04859350998966833,0.0,0.7172606290027047,22,0.13239020897938023,0.36363636363636365,2.8636363636363638,0.0,1.1957224034514462,0.0,0.08924005027517998,0.361313282688902,0.05097464907710614,0.0,0.13636363636363635,0.12649007930875372,0.0653044143022567,0.0649536682492557,0.0,0.08674259145216302,0.22727272727272727,0.0,0.45454545454545453,2021,2022,1,19.48,3999.26
C-043,2.2014503546497943,0.0,13586470318,54.0,0.32648956847527116,0.045454545454545456,0.5909090909090909,0.24591136733179583,0.09439697123055135,0.045454545454545456,0.6248966856757964,22,0.12858954571186898,0.9090909090909091,2.4545454545454546,0.07490563236607435,1.1544022817454813,0.0,0.0,0.1754703434597128,0.14853380060759475,0.0,0.6363636363636364,0.06142939859662975,0.0,0.06308897581536502,0.07288495824355443,0.1685047635273566,0.22727272727272727,0.05669717876265953,0.045454545454545456,2021,2022,1,19.48,3999.26
C-044,22.5977428826741,0.0,13509464949,36.0,0.0,0.0,1.0,0.0,0.09366964160945875,0.0,0.8306623862918074,10,0.0,0.4,3.6,0.14865696741738726,1.3601470508735443,0.0,0.17202057493404876,0.0,0.0,0.0,0.7,0.0,0.12588185303981056,0.0,0.0,0.0,0.0,0.0,0.6,2022,2023,1,23.62,4290.24
C-101,49.99998005310148,0.09782622786099024,13139887374,65.0,0.05206910703139271,0.047619047619047616,0.6190476190476191,0.09150950575994345,0.05269105862980445,0.0,0.8357108940373449,21,0.0,0.6666666666666666,3.0952380952380953,0.08362253608886999,0.6871842709362768,0.0,0.0,0.1958901442387655,0.3869108769069364,0.0,0.2857142857142857,0.0,0.0,0.07043075387371826,0.16273342493849183,0.0,0.19047619047619047,0.12659026370799153,0.2857142857142857,2020,2021,1,7.32,3718.23
C-045,16.709103454027463,0.0,12962390280,56.0,0.07577294060940176,0.05,0.55,0.0,0.07667802817888825,0.05,0.48989794855663565,20,0.20890485533743408,0.4,2.8,0.0,1.268857754044952,0.0,0.140816152015784,0.07126669301444954,0.3217413666289441,0.0,0.6,0.0,0.3091408948111926,0.10249350593109073,0.2368158558124415,0.0,0.0,0.0,0.6,2020,2021,1,7.32,3718.23
C-046,14.91232028329329,0.0,12653870036,44.0,0.07630688220577717,0.17647058823529413,0.5294117647058824,0.0,0.0,0.0,0.4556450995538137,17,0.0,0.0,2.588235294117647,0.0,1.3669352986614414,0.0,0.0,0.07176888088693405,0.06075160299630685,0.0,0.0,0.0,0.2334894652592439,0.02580393416515517,0.0,0.034459949368174675,0.7058823529411765,0.06956890245405084,0.11764705882352941,2020,2021,1,7.32,3718.23
C-047,13.004843935626512,0.1761296482952571,12487629825,46.0,0.187493961670873,0.047619047619047616,0.2857142857142857,0.0,0.0,0.09523809523809523,0.0,21,0.0,0.5714285714285714,2.1904761904761907,0.0,0.4994327848429292,0.0,0.0,0.3526872390327461,0.0,0.0,0.09523809523809523,0.185205356295393,0.06374532761571496,0.0,0.0,0.2540150602114735,0.8571428571428571,0.05697934774755688,0.09523809523809523,2019,2020,1,5.47,3487.23
C-048,26.100222755739388,0.0,12319627802,25.0,0.18761624312305422,0.1111111111111111,0.5555555555555556,0.0,0.0,0.1111111111111111,0.7370277311900889,9,0.0,1.0,2.7777777777777777,0.0,1.247219128924647,0.0,0.11622177697283942,0.23527817178781477,0.0,0.23938632385703137,0.5555555555555556,0.24710152685986525,0.0,0.0,0.0,0.0,0.2222222222222222,0.07602201204939321,0.4444444444444444,2020,2021,1,7.32,3718.23
C-049,5.650380562268585,0.0,12037472388,25.0,0.1878026206338947,0.1111111111111111,0.5555555555555556,0.0,0.06334862428557629,0.1111111111111111,0.7370277311900889,9,0.0,1.0,2.7777777777777777,0.0,1.247219128924647,0.0,0.1163372313979845,0.23551189654044263,0.0,0.23962412963774118,0.5555555555555556,0.24734699690411305,0.0,0.0,0.0,0.0,0.2222222222222222,0.07609753212771371,0.4444444444444444,2018,2019,1,7.1,3118.82
C-050,15.99878013887455,0.0,12030041530,28.0,0.0,0.0,0.1111111111111111,0.0,0.10968091093034987,0.1111111111111111,0.41573970964154905,9,0.44822895245286176,0.2222222222222222,3.111111111111111,0.0,0.8748897637790901,0.0,0.0,0.10194049057420297,0.1150554044422935,0.0,0.2222222222222222,0.0,0.14739926483942736,0.2932151846351832,0.0,0.0,0.4444444444444444,0.0,0.6666666666666666,2018,2020,2,8.83,3310.33
C-052,30.73848978042639,0.0,11268479430,18.0,0.17096461235048507,0.07692307692307693,0.5384615384615384,0.0,0.173006739054504,0.07692307692307693,0.5756395979652217,13,0.0,0.0,1.3846153846153846,0.0,0.9230769230769231,0.0,0.0,0.4019931933064179,0.1814842725531218,0.0,0.07692307692307693,0.2251703586405452,0.0,0.0,0.0,0.0,0.9230769230769231,0.2078243376550909,0.0,2019,2019,0,3.8,3281.09
C-053,27.56,0.0,11164179754,12.0,0.34412267836255545,0.0,1.0,0.0,0.0,0.0,0.4330127018922193,4,0.0,0.5,3.0,0.0,0.8660254037844386,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,2019,2019,0,3.8,3281.09
C-054,1.9431758616776529,0.0,10843782241,82.0,0.04939222824385624,0.0,0.7142857142857143,0.1736099830654887,0.0,0.08571428571428572,0.9098104758908947,35,0.13617362891148033,0.0,2.342857142857143,0.0,1.2209063210983713,0.0,0.0,0.09290970468467655,0.0,0.1890639704151171,0.2857142857142857,0.0,0.06717067030887544,0.06680990070792284,0.15436728082585374,0.0,0.6571428571428571,0.0,0.45714285714285713,2019,2020,1,5.47,3487.23
C-055,0.1500784031448911,0.0,10540040851,135.0,0.1621527132397461,0.10869565217391304,0.3695652173913043,0.7124433033418833,0.0,0.15217391304347827,0.9205180591191361,46,0.2607806755797966,0.6086956521739131,2.9347826086956523,0.0,1.4135450614790313,0.0,0.0,0.45752827630724924,0.14344180549140598,0.0,0.5434782608695652,0.03559409565596721,0.0,0.0,0.08446360325411303,0.0,0.2608695652173913,0.0657042019100052,0.2826086956521739,2021,2022,1,19.48,3999.26
C-056,32.06661770971433,0.0,10431576633,47.0,0.04260848505926844,0.07142857142857142,0.5714285714285714,0.074882816918731,0.0,0.07142857142857142,0.7953949089757174,14,0.0,0.5714285714285714,3.357142857142857,0.06842885892805087,1.222660197758835,0.0,0.0,0.0801490822477826,0.0,0.24464565514961917,0.2857142857142857,0.05611785813462564,0.0579451586623401,0.0,0.0,0.07696743440978142,0.42857142857142855,0.0,0.5,2018,2020,2,8.83,3310.33
C-057,50.0,0.08703889906217155,10199537266,48.0,0.2316371514192882,0.0,0.875,0.0,0.023440399542316002,0.0,0.6109532624422992,24,0.2235170474657037,0.375,2.0,0.0,0.6109532624422991,0.0,0.0430473623755793,0.544653989543455,0.024589006662633812,0.0,0.16666666666666666,0.2135557401015871,0.03150135817411201,0.03133216628774732,0.0,0.041842645271084354,0.8333333333333334,0.028157778915871057,0.4583333333333333,2020,2022,2,21.4,3897.3
C-058,19.05160330947557,0.0,10077732151,39.0,0.21034384362683037,0.0,0.5333333333333333,0.0,0.0,0.0,0.9092121131323904,15,0.0414224862092511,0.7333333333333333,2.6,0.0,1.6275407487644937,0.0,0.0,0.14131043549953262,0.3189807939266428,0.05751113317452466,0.26666666666666666,0.1187293291437432,0.0,0.08129128122198576,0.04695679047611427,0.0,0.26666666666666666,0.07305533563862449,0.4,2019,2021,2,11.4,3572.51
C-059,36.54453415905501,0.0,9649099952,30.0,0.0,0.0,0.75,0.0,1.0,0.0,0.5994789404140899,8,0.0,0.0,3.75,0.0,2.4206145913796355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2019,2021,2,11.4,3572.51
C-060,27.82574321215425,0.0,9626473624,31.0,0.0,0.0,0.5714285714285714,0.0,0.19854023305335883,0.0,0.4948716593053935,7,0.2704556940869012,0.5714285714285714,4.428571428571429,0.0,0.6388765649999399,0.0,0.0,0.18452881713417243,0.20826893776007538,0.0,0.0,0.0,0.26681656949127164,0.0,0.30659027312258186,0.0,0.0,0.23849644619451887,0.5714285714285714,2019,2020,1,5.47,3487.23
